,X.1,pid,X,PID,age,StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,time_pid_First.Click,time_pid_Last.Click,time_pid_Page.Submit,time_pid_Click.Count,time_swls_First.Click,time_swls_Last.Click,time_swls_Page.Submit,time_swls_Click.Count,swls_1,swls_2,swls_3,swls_4,swls_5,time_cesd_First.Click,time_cesd_Last.Click,time_cesd_Page.Submit,time_cesd_Click.Count,cesd_1,cesd_2,cesd_3,cesd_4,cesd_5,cesd_6,cesd_7,cesd_8,cesd_9,cesd_10,time_bfi2_First.Click,time_bfi2_Last.Click,time_bfi2_Page.Submit,time_bfi2_Click.Count,bfi2_1,bfi2_2,bfi2_3,bfi2_4,bfi2_5,bfi2_6,bfi2_7,bfi2_8,bfi2_9,bfi2_10,bfi2_11,bfi2_12,bfi2_13,bfi2_14,bfi2_15,bfi2_16,bfi2_17,bfi2_18,bfi2_19,bfi2_20,bfi2_21,bfi2_22,bfi2_23,bfi2_24,bfi2_25,bfi2_26,bfi2_27,bfi2_28,bfi2_29,bfi2_30,bfi2_31,bfi2_32,bfi2_33,bfi2_34,bfi2_35,bfi2_36,bfi2_37,bfi2_38,bfi2_39,bfi2_40,bfi2_41,bfi2_42,bfi2_43,bfi2_44,bfi2_45,bfi2_46,bfi2_47,bfi2_48,bfi2_49,bfi2_50,bfi2_51,bfi2_52,bfi2_53,bfi2_54,bfi2_55,bfi2_56,bfi2_57,bfi2_58,bfi2_59,bfi2_60,time_pvq_First.Click,time_pvq_Last.Click,time_pvq_Page.Submit,time_pvq_Click.Count,pvq_1,pvq_2,pvq_3,pvq_4,pvq_5,pvq_6,pvq_7,pvq_8,pvq_9,pvq_10,pvq_11,pvq_12,pvq_13,pvq_14,pvq_15,pvq_16,pvq_17,pvq_18,pvq_19,pvq_20,pvq_21,pvq_22,pvq_23,pvq_24,pvq_25,pvq_26,pvq_27,pvq_28,pvq_29,pvq_30,pvq_31,pvq_32,pvq_33,pvq_34,pvq_35,pvq_36,pvq_37,pvq_38,pvq_39,pvq_40,pvq_41,pvq_42,pvq_43,pvq_44,pvq_45,pvq_46,pvq_47,pvq_48,pvq_49,pvq_50,pvq_51,pvq_52,pvq_53,pvq_54,pvq_55,pvq_56,pvq_57,time_ECRS_First.Click,time_ECRS_Last.Click,time_ECRS_Page.Submit,time_ECRS_Click.Count,ecrs._1,ecrs._2,ecrs._3,ecrs._4,ecrs._5,ecrs._6,ecrs._7,ecrs._8,ecrs._9,ecrs._10,ecrs._11,ecrs._12,time_ergs_First.Click,time_ergs_Last.Click,time_ergs_Page.Submit,time_ergs_Click.Count,ergs_1,ergs_2,ergs_3,ergs_4,ergs_5,ergs_6,ergs_7,ergs_8,ergs_9,ergs_10,ergs_11,ergs_12,ergs_13,ergs_14,ergs_15,ergs_16,ergs_17,ergs_18,time_iem_First.Click,time_iem_Last.Click,time_iem_Page.Submit,time_iem_Click.Count,iem_1,iem_2,iem_3,iem_4,iem_5,iem_6,iem_7,iem_8,iem_9,iem_10,iem_11,iem_12,iem_13,iem_14,iem_15,iem_16,iem_17,iem_18,iem_19,iem_20,time_crq.s_First.Click,time_crq.s_Last.Click,time_crq.s_Page.Submit,time_crq.s_Click.Count,crq.s_1,crq.s_2,crq.s_3,time_IER.close_First.Click,time_IER.close_Last.Click,time_IER.close_Page.Submit,time_IER.close_Click.Count,IER.close_1,IER.close_2,IER.close_3,IER.close_4,IER.close_5,IER.close_6,time_erq_First.Click,time_erq_Last.Click,time_erq_Page.Submit,time_erq_Click.Count,erq_1,erq_2,erq_3,erq_4,erq_5,erq_6,erq_7,erq_8,erq_9,erq_10,erq_11,erq_12,erq_13,erq_14,erq_15,erq_16,erq_17,erq_18,erq_19,erq_20,time_scs_First.Click,time_scs_Last.Click,time_scs_Page.Submit,time_scs_Click.Count,scs_1,scs_2,scs_3,scs_4,scs_5,scs_6,scs_7,scs_8,scs_9,scs_10,scs_11,scs_12,scs_13,scs_14,scs_15,scs_16,scs_17,scs_18,scs_19,scs_20,scs_21,scs_22,scs_23,scs_24,scs_25,scs_26,scs_27,scs_28,scs_29,scs_30,csi_1_1,csi_1_2,csi_1_3,csi_1_4,csi_2_1,csi_2_2,csi_2_3,csi_2_4,csi_3_1,csi_3_2,csi_3_3,csi_4_1,csi_4_2,csi_4_3,csi_5_1,csi_5_2,csi_5_3,csi_6_1,csi_6_2,csi_6_3,time_demo_First.Click,time_demo_Last.Click,time_demo_Page.Submit,time_demo_Click.Count,gender,gender_6_TEXT,acad.year,acad.year_5_TEXT,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_9_TEXT,country,country_2_TEXT,motherUSA,motherUSA_2_TEXT,fatherUSA,fatherUSA_2_TEXT,socialclass,rel.status,rel.duration,id,swls,cesd_5_r,cesd_8_r,cesd,iem_sit_mod,iem_att_dep,iem_reap,iem_supp,race,race_text,swls_z,cesd_neg_z,well_being_z,gender_dummy,iem_supp_log
40,40,147,40,147,19,10/6/21 10:04,10/6/21 13:10,0,128.252.3.167,100,11105,1,10/6/21 13:10,R_3p6cMobZJd9GRH0,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,9286.96,9286.96,9292.605,1,23.48,51.262,52.277,5,5,5,6,3,3,10.894,82.444,83.436,13,1,0,0,2,3,1,1,1,0,0,8.678,295.082,295.923,82,3,5,4,2,1,3,5,4,4,5,2,2,3,4,4,2,1,1,4,5,3,2,1,3,1,1,4,4,3,1,4,4,2,5,5,4,1,4,1,3,3,4,2,2,1,4,2,4,2,2,5,5,4,2,2,3,4,4,4,4,9.892,412.812,413.617,74,5,5,5,4,3,6,2,5,2,4,5,4,5,2,3,6,2,6,4,3,3,5,5,6,4,6,2,1,4,4,6,5,2,4,1,4,5,1,5,3,5,4,4,3,3,4,4,4,6,2,1,2,4,4,4,1,4,16.883,103.665,104.604,18,5,6,2,4,5,1,5,1,6,4,5,6,13.405,95.83,102.533,23,4,2,2,1,1,1,6,4,4,3,3,4,3,4,2,2,2,2,17.019,148.382,158.957,25,4,6,5,3,4,5,4,3,5,5,3,2,2,5,5,1,1,1,2,1,14.963,24.397,25.2,5,4,3,3,20.986,37.898,42.277,6,5,4,1,6,4,3,7.772,128,129.03,29,4,2,6,1,6,1,4,5,1,3,6,2,3,3,2,5,3,3,5,6,8.667,174.806,176.773,38,6,2,5,6,4,4,6,3,2,6,6,4,4,5,5,3,1,7,5,3,1,5,3,3,6,6,6,5,3,1,5,5,3,2,4,7,2,3,3,6,6,7,5,4,2,3,2,5,6,5,5.575,40.356,42.119,13,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,China,2,China,2,China,2,1,NA,NA,4.4,0,2,7,4.4,4.4,3.4,1.2,3,East Asian,-0.43532509,0.587451646,0.086258623,1,0.182321557
41,41,146,41,146,20,10/6/21 12:42,10/6/21 13:39,0,128.252.3.164,100,3417,1,10/6/21 13:39,R_09DuB3JNLwdJt1n,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,2245.249,2245.249,2250.49,1,12.467,27.103,28.257,5,5,5,5,6,7,11.307,45.875,47.142,11,0,2,1,0,1,0,2,2,0,0,8.408,180.25,180.981,66,5,5,1,4,3,4,5,1,5,5,1,1,4,2,4,1,1,5,3,4,4,1,1,5,1,2,4,3,4,1,1,5,5,5,4,1,2,5,3,5,4,3,4,4,1,5,1,1,1,2,3,4,5,3,1,5,4,4,1,4,10.291,224.05,224.437,67,5,4,6,6,5,6,2,2,2,5,6,2,2,6,1,6,3,6,3,3,2,3,6,6,3,6,4,1,5,4,6,6,5,6,2,6,5,1,6,1,6,6,3,2,3,4,3,6,6,6,6,4,5,6,3,6,4,15.984,64.268,65.128,14,2,2,5,1,2,1,5,3,5,1,4,1,17.798,63.288,63.879,20,3,6,6,1,1,1,6,6,6,6,6,1,6,6,1,1,1,6,21.157,90.654,91.5,20,6,7,6,6,6,7,7,7,7,7,2,3,3,4,1,1,1,1,1,1,8.115,14.913,15.626,5,5,5,3,16.032,31.634,34.341,6,4,5,1,5,7,5,21.08,120.413,120.878,25,4,7,5,1,7,7,7,7,7,7,4,1,4,7,5,5,7,6,6,6,3.754,133.404,133.7,40,7,5,2,4,7,7,7,4,4,6,6,1,3,4,3,2,4,7,1,5,6,7,5,7,7,5,7,5,7,3,3,5,6,1,4,7,7,5,6,7,6,5,3,1,4,1,1,5,7,7,3.342,32.718,35.737,11,2,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,5,2,2,NA,5.6,2,1,8,6.2,7,2.6,1,6,White,0.552846312,0.394542607,0.537187366,1,0
42,42,139,42,139,18,10/7/21 10:03,10/7/21 10:43,0,128.252.3.164,100,2430,1,10/7/21 10:43,R_sMDnx5M1AHDGJ21,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,1.083,1.083,803.959,1,14.932,40.729,53.093,8,6,7,6,6,3,15.417,53.667,59.951,11,1,2,0,0,2,0,2,2,2,0,15.594,215.572,218.271,66,4,2,1,4,1,2,5,1,2,4,2,3,5,2,4,4,2,5,4,5,4,3,1,4,5,2,4,4,4,2,4,4,5,4,5,2,2,5,2,2,4,4,5,4,2,2,4,1,1,4,3,5,5,1,2,4,2,1,2,4,8.616,301.1,302.054,78,5,4,6,4,3,2,4,5,4,6,6,2,4,3,1,5,3,6,6,4,6,5,6,5,4,5,3,1,3,3,6,5,4,3,2,6,5,5,6,4,5,5,4,5,4,2,6,6,4,4,6,3,4,6,6,2,5,24.775,99.655,105.332,16,6,5,7,4,3,1,6,6,6,5,5,6,16.837,103.197,104.468,24,6,4,4,3,1,3,6,6,7,5,3,6,5,6,6,6,6,6,24.447,152.542,153.297,23,4,2,4,3,3,6,5,6,6,6,5,6,6,6,4,1,1,1,1,1,12.14,21.3,22.518,3,3,2,2,22.533,55.55,57.194,12,2,6,2,5,6,4,26.639,140.338,141.523,29,5,6,6,2,5,3,2,2,2,6,6,2,6,7,6,4,5,4,2,2,5.655,174.785,176.041,49,7,5,3,7,5,7,6,5,3,7,5,6,5,6,5,6,2,2,6,1,6,7,2,2,7,6,6,5,1,3,7,2,3,3,5,7,7,4,5,7,5,2,2,2,1,2,4,3,2,4,4.95,34.846,39.8,13,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,China,2,China,2,China,4,1,NA,NA,5.6,1,1,9,3.2,5.8,5.4,1,3,East Asian,0.552846312,0.201633568,0.427804306,1,0
43,43,145,43,145,20,10/7/21 10:59,10/7/21 11:20,0,128.252.3.164,100,1220,1,10/7/21 11:20,R_2zkhF3GOAbOKSoP,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,246.757,246.757,253.805,1,8.876,21.527,22.642,5,6,6,5,5,3,3.687,31.062,32.503,13,1,2,0,1,3,0,1,2,1,1,3.699,136.677,137.286,69,5,4,1,5,1,2,5,3,5,5,2,2,5,1,4,2,5,5,4,5,3,1,2,4,1,3,2,1,5,1,2,5,5,4,5,3,1,5,2,5,5,2,5,5,1,5,1,1,4,1,3,5,5,2,1,5,5,2,1,3,10.859,194.389,195.192,72,5,3,6,6,5,2,4,5,4,6,6,3,5,6,3,3,6,6,4,2,6,3,6,6,4,6,3,4,5,5,6,6,6,6,2,6,5,2,6,4,6,6,2,2,4,6,6,6,6,4,6,6,5,2,2,6,6,12.956,48.972,50.34,15,5,7,7,2,3,1,7,2,4,1,5,7,6.81,51.122,51.66,25,6,7,7,1,1,1,6,6,6,6,7,5,7,7,4,4,5,7,20.484,85.248,86.286,23,7,7,7,6,7,7,7,7,7,7,7,7,4,4,7,1,1,1,1,1,8.045,9.669,10.462,3,5,5,5,14.242,28.893,29.671,9,7,7,1,6,4,5,9.158,92.091,92.913,31,5,5,7,2,7,3,6,5,6,4,5,6,4,5,5,5,5,5,6,6,9.879,116.161,116.69,39,5,5,7,7,7,7,7,4,1,7,7,4,1,7,4,5,4,7,7,3,5,5,7,2,5,5,7,7,7,6,7,2,4,1,3,5,6,6,4,7,6,5,3,3,1,2,1,5,7,5,2.731,28.808,35.283,9,2,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,3,2,24,NA,5,0,1,8,6.8,7,5.8,1,6,White,0.058760611,0.394542607,0.257031465,1,0
44,44,123,44,123,21,10/7/21 11:36,10/8/21 11:26,0,128.252.3.164,100,85764,1,10/8/21 11:26,R_1KkJjrFjaaXDTvp,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,1.115,1.115,84469.248,1,17.655,34.474,35.442,6,6,6,5,5,7,7.391,37.059,38.482,11,0,2,1,3,2,1,3,1,1,1,3.917,176.144,176.781,70,5,4,3,3,4,4,5,2,4,5,1,2,4,2,3,1,1,3,4,4,4,1,2,4,2,4,3,4,4,3,2,3,2,5,3,3,3,4,2,4,5,2,4,3,3,5,2,2,2,1,3,5,4,1,3,5,5,4,2,3,10.22,234.889,235.66,64,3,2,4,5,5,3,2,5,2,3,5,5,2,4,1,6,2,4,1,3,2,2,6,5,2,6,3,5,5,1,6,6,2,4,2,4,5,1,4,2,4,5,2,1,3,4,3,6,4,3,4,3,5,3,6,5,5,8.064,48.393,49.259,13,6,2,2,2,6,2,1,6,7,3,2,2,14.25,82.566,83.514,22,6,4,3,4,1,3,4,4,4,3,2,2,3,2,1,2,2,3,23.748,140.11,141.762,28,4,5,2,4,4,2,2,2,1,2,3,5,6,4,5,1,1,1,1,1,3.895,13.55,18.658,5,5,3,2,33.847,61.263,62.045,8,2,4,1,6,5,5,25.165,156.364,157.206,26,4,3,5,1,5,1,3,5,3,6,2,6,5,4,6,4,6,5,4,4,3.576,132.138,132.96,32,6,5,6,4,3,5,5,5,4,2,5,2,3,7,6,1,2,7,4,3,4,3,3,3,5,4,5,5,3,4,5,3,2,1,2,6,7,2,3,6,6,2,4,5,1,1,3,4,7,7,1.364,23.705,25.869,9,2,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,4,1,NA,NA,5.8,1,2,15,3.8,1.8,4.6,1,6,White,0.717541546,-0.955820665,-0.13510875,1,0
45,45,143,45,143,19,10/8/21 11:13,10/8/21 14:21,0,128.252.3.167,100,11266,1,10/8/21 14:21,R_1l06Yc0BFyLiso2,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,10569.428,10881.427,10900.286,7,7.768,12.352,17.835,6,7,7,7,7,7,4.949,49.085,49.34,13,1,2,0,3,3,0,1,3,2,0,2.885,76.822,77.792,75,1,4,4,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,3,1,4,2,3,3,2,5,3,3,2,2,3,3,2,4,3,4,2,4,2,3,2,3,3,3,3,2,3,3,2,4,4.766,33.462,34.117,68,3,3,2,2,4,3,3,5,3,4,3,2,4,4,3,4,2,3,4,4,2,3,4,3,3,3,3,4,3,3,2,4,3,2,3,3,3,3,3,1,3,3,2,3,3,3,2,2,3,1,3,3,3,3,2,3,2,0.737,7.081,7.587,17,3,2,2,2,2,2,3,2,3,3,2,4,0.423,16.087,16.376,25,3,3,2,3,3,1,2,3,3,3,2,2,2,4,3,1,3,3,0.606,10.566,10.858,27,2,2,3,2,3,1,2,2,2,2,2,2,1,2,3,3,2,4,3,2,0.274,1.922,2.259,5,2,2,1,0.277,4.261,4.924,8,3,2,3,2,3,1,0.369,9.587,10.244,23,4,4,5,3,4,3,5,5,4,4,3,4,4,2,4,4,5,3,4,3,0.527,19.168,19.411,36,3,2,3,4,4,4,3,3,4,4,3,4,2,3,4,3,4,5,4,2,3,3,4,3,3,4,4,4,3,4,2,3,3,4,3,3,4,4,4,4,3,4,4,4,4,4,3,3,4,3,7.088,46.672,87.294,19,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,China,2,China,2,China,4,1,NA,NA,7,0,0,9,2.4,1.8,2,2.8,3,East Asian,1.705712948,0.201633568,1.081501409,0,1.029619417
46,46,154,46,154,19,10/8/21 11:41,10/8/21 14:38,0,128.252.3.164,100,10578,1,10/8/21 14:38,R_xgQqyAss5RdMV2x,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,4.202,4.202,9036.254,1,130.016,142.385,143.015,6,6,7,6,5,5,12.883,37.279,38.168,11,0,1,0,1,1,0,0,3,0,0,12.793,172.329,173.889,68,4,5,2,4,3,2,5,2,3,4,2,3,4,1,4,3,4,5,2,3,3,1,2,4,3,2,4,2,4,2,3,4,5,3,4,2,2,5,1,3,3,2,4,4,2,3,1,1,2,5,2,5,4,1,2,3,4,4,2,3,9.365,243.705,244.483,69,3,3,5,4,3,4,3,2,4,5,6,4,4,4,5,5,4,5,4,3,4,4,6,2,3,5,3,5,4,3,4,6,1,6,2,5,4,5,5,4,3,6,4,2,3,4,2,5,4,5,5,2,4,3,4,4,4,16.212,59.544,60.617,13,6,5,3,2,6,3,5,4,5,4,2,3,28.184,92.109,93.007,21,3,5,4,1,2,2,3,4,4,3,2,3,4,5,2,2,3,4,15.044,165.123,166.921,22,6,6,5,4,5,4,3,3,4,4,5,5,3,4,4,2,1,2,1,1,4.636,18.747,19.44,5,4,3,3,22.764,51.818,52.989,7,4,5,2,5,5,4,12.945,170.274,170.7,28,5,6,5,3,6,5,4,5,5,6,4,5,4,5,3,4,6,5,4,6,12.285,182.879,185.179,49,5,2,6,5,5,7,5,7,3,5,5,6,3,6,5,5,4,3,6,5,3,4,3,3,5,4,4,6,3,5,5,3,6,4,4,4,3,5,6,7,5,5,4,3,7,5,2,5,6,6,2.72,31.146,34.187,9,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,4,1,NA,NA,5.8,2,0,4,5.2,3.6,4.2,1.4,3,East Asian,0.717541546,1.166178762,1.068104904,0,0.336472237
47,47,144,47,144,22,10/8/21 14:52,10/8/21 15:23,0,128.252.3.167,100,1869,1,10/8/21 15:23,R_ut3AgmiJjm6UZyx,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,1.446,1.446,629.932,1,11.258,26.522,36.003,8,6,7,7,7,7,9.037,38.733,39.741,11,0,1,0,0,2,1,1,3,1,1,14.648,213.04,213.892,71,5,5,4,4,2,4,5,1,4,4,2,2,5,2,4,3,2,2,4,4,5,1,2,5,2,1,4,2,5,2,2,5,1,2,4,2,1,5,2,3,4,4,4,4,2,5,1,3,4,3,3,5,5,1,3,5,4,2,2,4,18.965,316.446,316.453,77,4,4,5,4,5,5,2,4,3,4,5,4,3,5,3,NA,4,5,4,4,4,4,6,4,4,5,5,5,5,5,6,6,4,5,3,5,6,2,4,4,4,4,4,4,4,4,4,4,5,4,6,5,4,5,5,6,6,9.565,48.38,49.379,16,6,5,6,3,6,5,5,6,6,6,5,5,23.7,61.235,61.974,24,5,6,6,3,5,3,4,6,6,6,5,6,6,6,5,5,5,5,22.583,84.488,87.904,27,5,5,5,6,5,5,6,6,5,5,4,5,5,5,5,2,2,1,2,1,5.964,12.413,12.844,4,4,3,4,9.833,26.569,28.347,8,5,5,6,5,5,5,68.256,101.214,101.919,21,5,3,5,5,5,5,5,5,5,5,6,6,5,5,5,6,6,6,5,6,65.792,126.641,127.386,40,5,6,5,5,3,5,5,5,5,5,7,5,5,6,5,3,6,5,2,5,5,5,2,5,5,5,5,5,4,3,7,1,4,3,4,4,3,2,6,7,4,4,5,6,1,1,1,2,2,6,1.663,40.591,42.761,13,1,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,5,3,42,NA,6.8,1,0,6,5.2,5.4,4.8,1.6,6,White,1.541017714,0.780360685,1.316265287,0,0.470003629
48,48,142,48,142,22,10/8/21 15:43,10/8/21 16:26,0,128.252.3.167,100,2582,1,10/8/21 16:26,R_2QoDe56pE6L92mZ,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,0.871,0.871,440.634,1,11.515,31.738,33.356,5,6,7,7,5,3,5.982,46.934,47.686,15,1,1,1,2,3,1,1,3,1,1,3.121,324.128,324.758,98,3,5,1,4,4,4,5,1,5,5,1,2,2,4,4,3,4,5,4,4,3,1,2,4,1,2,5,2,4,4,4,4,5,4,5,2,1,5,5,4,5,3,5,4,2,4,1,1,3,4,3,5,5,3,4,4,5,3,4,3,8.605,552.937,555.625,106,5,5,6,6,6,6,2,6,6,5,6,5,4,6,2,6,2,6,5,2,6,5,6,5,6,6,2,2,4,6,6,6,6,6,2,5,5,1,6,1,6,6,5,1,5,5,6,6,6,6,6,5,4,6,6,3,4,5.1,85.281,85.709,25,7,5,1,1,4,1,3,7,7,2,3,1,11.02,100.749,102.111,23,3,5,6,1,1,1,1,6,6,7,7,6,7,7,6,6,7,6,8.006,179.669,180.815,35,5,7,7,7,7,7,5,7,7,7,7,7,5,7,5,1,1,2,2,2,4.341,22.189,24.871,8,4,3,1,6.198,63.422,64.566,9,6,5,1,6,2,6,13.454,229.661,231.685,28,2,1,5,1,7,1,7,7,1,7,6,7,4,4,4,7,7,7,7,7,3.294,239.142,240.1,48,5,7,5,7,5,7,7,2,6,NA,4,4,5,5,7,5,4,5,5,3,5,7,3,6,7,5,6,6,3,4,4,4,3,3,5,4,5,2,5,4,6,3,5,2,2,2,1,2,6,7,0.178,36.427,39.718,14,2,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,South Korea,2,NA,2,NA,5,3,3,NA,5.6,0,0,9,6.6,6.6,6.2,1.6,3,East Asian,0.552846312,0.201633568,0.427804306,1,0.470003629
49,49,156,49,156,21,10/8/21 14:55,10/8/21 16:53,0,128.252.3.164,100,7124,1,10/8/21 16:53,R_vTxFaxsGiWWpggV,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,6616.765,6617.716,6628.011,2,11.103,20.136,21.434,7,3,3,3,3,4,5.682,18.368,19.882,12,1,1,0,1,1,0,2,1,0,0,2.78,83.482,84.356,80,3,3,2,3,3,3,3,2,2,3,2,2,2,3,2,2,2,3,4,2,3,3,2,3,2,3,3,3,3,2,3,3,3,2,2,3,3,2,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,2,2,3,3,2,2,3,7.497,45.861,47.384,59,3,3,4,3,4,3,3,3,3,3,4,4,4,4,3,4,3,3,3,4,4,4,3,3,4,3,4,3,3,4,4,4,3,3,4,3,4,4,3,4,3,3,4,4,4,4,3,3,3,3,3,4,4,3,4,3,4,5.744,40,40.798,24,4,4,5,3,5,3,5,3,5,5,6,4,4.196,20.648,22.527,23,4,4,4,4,4,4,4,3,5,4,4,3,5,4,3,4,3,5,53.427,68.82,69.926,21,3,3,4,4,3,4,3,3,4,4,4,4,3,3,3,4,4,4,3,3,1.976,5.317,6.155,3,3,3,2,4.974,12.722,13.923,6,2,4,3,4,3,3,3.316,23.402,24.247,22,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.6,30.623,31.405,32,5,5,4,5,5,5,4,4,4,5,5,5,4,4,5,4,5,4,5,5,4,4,5,5,5,4,4,4,5,5,3,4,4,3,3,3,3,3,3,4,3,3,2,2,2,2,2,3,5,4,2.11,33.762,37.459,14,7,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,China,2,NA,2,NA,3,2,4,NA,3.2,2,2,9,3.4,3.6,3.4,3.6,3,East Asian,-1.423496492,0.201633568,-0.692819298,NA,1.280933845
50,50,166,50,166,20,10/13/21 11:31,10/13/21 11:48,0,128.252.3.164,100,1022,1,10/13/21 11:48,R_3lFZsHfJBj2fseB,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,662.981,662.981,666.931,1,13.466,15.216,15.904,5,4,4,4,4,4,0.556,13.859,17.522,13,1,2,1,2,1,1,2,1,1,2,2.21,83.093,83.408,71,3,4,3,3,3,4,3,4,4,3,4,3,3,4,3,4,3,4,3,4,4,4,3,4,3,4,4,3,3,4,4,3,3,3,4,2,3,4,4,3,4,4,3,4,3,3,3,2,1,2,3,3,4,3,4,3,2,3,4,3,1.266,42.366,43.142,58,3,4,3,4,5,4,3,4,5,4,4,4,3,4,3,4,4,4,3,4,4,5,5,3,4,5,4,3,4,4,4,3,4,4,5,5,3,4,4,3,4,4,3,4,4,3,5,4,3,4,4,4,3,4,4,3,4,1.968,9.807,10.379,13,5,4,4,3,4,5,4,4,3,4,5,4,1.527,14.868,16.011,19,4,3,4,5,6,3,4,4,4,3,5,4,3,4,5,4,4,3,0.62,13.56,14.361,21,3,4,4,5,4,3,4,5,4,5,4,3,4,4,4,3,4,5,4,4,0.657,2.107,2.486,4,3,2,3,5.375,8.784,9.609,6,4,4,3,5,4,4,0.872,17.537,18.602,24,3,4,4,3,5,6,4,4,5,3,4,6,3,5,4,5,3,4,5,3,0.468,23.376,24.156,32,3,5,4,3,5,4,4,3,4,5,3,5,3,5,5,4,3,4,5,3,5,3,4,4,5,4,3,4,3,5,3,4,3,3,4,4,4,4,5,5,5,4,3,4,3,3,3,4,4,4,2.653,39.942,40.879,14,1,NA,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,kenya,2,kenya,4,3,8,NA,4,2,2,16,4,4.2,3.8,4,10,Multiple,-0.764715558,-1.148729704,-1.084959512,0,1.386294361
51,51,160,51,160,18,10/13/21 12:06,10/13/21 12:44,0,128.252.3.164,100,2279,1,10/13/21 12:44,R_2rqlmsh2zRLf7Dd,NA,NA,NA,NA,38.66200256,-90.28890228,anonymous,EN,1268.124,1271.545,1272.862,2,8.428,26.929,28.197,7,5,4,4,4,3,18.123,31.958,32.859,10,2,2,1,2,2,2,1,1,1,1,4.087,136.665,137.723,69,4,4,3,2,3,2,4,3,2,3,2,2,3,3,3,2,2,4,4,2,4,3,3,2,1,2,2,2,2,2,2,3,4,5,4,3,3,3,4,3,3,4,3,3,2,3,3,2,1,4,3,3,3,4,3,3,2,3,3,3,14.644,196.525,197.287,67,4,4,5,5,3,5,4,3,5,5,4,5,5,4,4,5,4,5,6,3,4,5,4,5,5,5,6,3,4,4,5,5,4,4,5,3,6,4,5,3,4,3,5,4,4,5,4,5,5,3,6,4,3,4,5,5,4,10.559,55.777,56.749,17,6,6,5,2,6,2,3,3,5,6,3,4,16.294,59.399,59.977,20,6,6,6,2,2,2,6,6,6,5,4,4,5,5,5,6,6,6,10.577,86.906,88.852,28,6,6,6,5,6,5,5,5,5,6,3,5,5,5,5,2,2,1,2,1,6.19,13.888,14.408,4,5,4,4,10.218,48.504,49.246,9,5,6,1,6,5,4,13.346,82.76,83.795,23,6,4,6,2,6,4,6,6,4,6,5,6,6,6,6,6,6,4,6,6,3.533,113.008,114.11,41,6,6,5,4,4,6,6,5,3,4,5,4,4,5,6,4,5,5,6,3,3,4,3,4,5,5,5,6,3,4,4,4,4,NA,5,4,5,5,4,5,5,5,6,6,3,2,2,3,4,5,1.955,27.913,28.841,12,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,China,2,China,2,China,4,1,NA,NA,4,1,2,15,5.8,5.2,4.6,1.6,3,East Asian,-0.764715558,-0.955820665,-0.975576453,1,0.470003629
